



















now,cpu
2020-10-20 15:06:45,  2.6
2020-10-20 15:06:45,  0
2020-10-20 15:06:48,  2.6
2020-10-20 15:06:48,  0
2020-10-20 15:06:52,  2.6
2020-10-20 15:06:52,  0
2020-10-20 15:06:55,  2.6
2020-10-20 15:06:55,  0
2020-10-20 15:06:58,  2.6
2020-10-20 15:06:58,  0
2020-10-20 15:07:01,  2.6
2020-10-20 15:07:01,  0
2020-10-20 15:07:04,  2.6
2020-10-20 15:07:04,  0
2020-10-20 15:07:07,  2.6
2020-10-20 15:07:07,  0
2020-10-20 15:07:11,  2.6
2020-10-20 15:07:11,  0
2020-10-20 15:07:14,  2.6
2020-10-20 15:07:14,  0
